Agency,City,State,County,Diesel (gal),Gasoline (gal),Liquefied Petroleum Gas (gal equivalent),Compressed Natural Gas (gal equivalent),Bio-Diesel (gal),Other Fuel (gal/gal equivalent),Electric Propulsion (kwh),Electric Battery (kwh),Diesel (miles),Gasoline (miles),Liquefied Petroleum Gas (miles),Compressed Natural Gas (miles),Other Fuel (miles),Electric Propulsion (miles),Electric Battery (miles)
"Metropolitan Transit Authority of Harris County, Texas, dba: Metro",Houston,TX,Harris,423059,0,0,0,0,0,0,0,2255556,0,0,0,0,0,0
"Metropolitan Transit Authority of Harris County, Texas, dba: Metro",Houston,TX,Harris,6349535,206296,0,1316039,0,0,0,0,29738755,1020202,0,4065763,0,0,0
"Metropolitan Transit Authority of Harris County, Texas, dba: Metro",Houston,TX,Harris,0,0,0,0,0,0,20764234,0,0,0,0,0,0,3420524,0
"Metropolitan Transit Authority of Harris County, Texas, dba: Metro",Houston,TX,Harris,0,290680,0,0,0,0,0,0,0,1826390,0,0,0,0,0
"Metropolitan Transit Authority of Harris County, Texas, dba: Metro",Houston,TX,Harris,0,1935187,0,0,0,0,0,0,0,5426149,0,0,0,0,0
"Metropolitan Transit Authority of Harris County, Texas, dba: Metro",Houston,TX,Harris,1600591,0,0,0,0,0,0,0,7210986,0,0,0,0,0,0
"Metropolitan Transit Authority of Harris County, Texas, dba: Metro",Houston,TX,Harris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metropolitan Transit Authority of Harris County, Texas, dba: Metro",Houston,TX,Harris,1715447,0,0,0,0,0,0,0,7646255,0,0,0,0,0,0
Maryland Transit Administration,Baltimore,MD,Baltimore,5230675,0,0,0,0,0,0,0,1516741,0,0,0,0,0,0
Maryland Transit Administration,Baltimore,MD,Baltimore,0,0,0,0,0,0,44465246,0,0,0,0,0,0,0,0
Maryland Transit Administration,Baltimore,MD,Baltimore,0,1914938,0,0,0,0,0,0,0,11450423,0,0,0,0,0
Maryland Transit Administration,Baltimore,MD,Baltimore,0,0,0,0,0,0,25044315,0,0,0,0,0,0,2679810,0
Maryland Transit Administration,Baltimore,MD,Baltimore,1754928,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maryland Transit Administration,Baltimore,MD,Baltimore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maryland Transit Administration,Baltimore,MD,Baltimore,3709703,0,0,0,0,0,21715405,0,764117,0,0,0,0,163832,0
Maryland Transit Administration,Baltimore,MD,Baltimore,0,26455,0,0,0,0,0,0,0,147977,0,0,0,0,0
Pace - Suburban Bus Division,Arlington Heights,IL,Cook,9933,9320,0,0,0,0,0,0,34843,29257,0,0,0,0,0
Pace - Suburban Bus Division,Arlington Heights,IL,Cook,171198,2978,0,0,0,0,0,0,927587,24829,0,0,0,0,0
Pace - Suburban Bus Division,Arlington Heights,IL,Cook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
