Agency,City,State,County,Diesel (gal),Gasoline (gal),"Liquefied
Petroleum Gas (gal)",Compressed Natural Gas (gal),Bio-Diesel (gal),Other Fuel (gal),Electric Propulsion (gal),Electric Battery (gal)
Greater Hartford Transit District,Hartford,CT,Capitol,75279,510929,0,0,0,0,0,0
"City of Fresno, dba: Fresno Area Express",Fresno,CA,Fresno,0,189320,0,1656089,0,0,0,0
"Golden Gate Bridge, Highway and Transportation District",San Francisco,CA,San Francisco,971341,49352,0,0,1856186,0,0,0
"City of Tallahassee, dba: StarMetro",Tallahassee,FL,Leon,774404,48767,0,200860,0,0,0,147473
"City of Memphis, dba: Memphis Area Transit Authority",Memphis,TN,Shelby,1343674,117332,0,0,0,0,739700,0
City of Alexandria ,Alexandria,VA,Alexandria,527426,0,0,0,0,0,0,0
"Central Contra Costa Transit Authority, dba: COUNTY CONNECTION",Concord,CA,Contra Costa,610413,148958,0,0,0,0,0,227250
"Peninsula Corridor Joint Powers Board, dba: Caltrain",San Carlos,CA,San Mateo,3815352,91237,0,0,0,0,0,0
"Salem Area Mass Transit District, dba: Cherriots",Salem,OR,Marion,0,143623,0,340009,205694,0,0,0
Green Mountain Transit Authority,Burlington,VT,Chittenden,394526,163345,0,0,0,0,0,20169
"Research Triangle Regional Public Transportation Authority, dba: GoTriangle",Durham,NC,Durham,602937,97541,0,0,0,0,0,0
Madison County Transit District,Granite City,IL,Madison,765313,154885,0,0,0,0,0,0
Minnesota Valley Transit Authority,Burnsville,MN,Dakota,0,27458,0,0,533371,0,0,0
San Joaquin Council,Stockton,CA,San Joaquin,0,140183,0,0,0,0,0,0
Denton County Transportation Authority,Lewisville,TX,Denton,336338,146281,0,22296,0,0,0,0
Champaign-Urbana Mass Transit District,Urbana,IL,Champaign,2293,61361,0,0,629740,0,0,0
Rides Mass Transit District,Harrisburg,IL,Saline,170786,325839,0,0,21108,36204,0,0
"Corpus Christi Regional Transportation Authority, dba: The B",Corpus Christi,TX,Nueces,147941,28664,0,813599,0,0,0,0
Transit Authority of Northern Kentucky,Covington,KY,Kenton,735859,56000,0,0,0,0,0,0
"City of Colorado Springs, dba: Mountain Metropolitan Transit",Colorado Springs,CO,El Paso,472810,75050,0,0,0,0,0,0
Transit Authority of Omaha,Omaha,NE,Douglas,588017,1753,0,195325,0,0,0,0
"Paratransit, Inc.",Sacramento,CA,Sacramento,0,338716,0,116620,0,0,0,0
"Cumberland Dauphin-Harrisburg Transit Authority, dba: Capital Area Transit",Harrisburg,PA,Dauphin,444761,215852,0,0,8846,0,0,0
San Joaquin Regional Transit District,Stockton,CA,San Joaquin,319923,132818,0,0,89299,0,0,652030
Mecklenburg County ,Charlotte,NC,Mecklenburg,0,57453,0,0,0,0,0,0
Greater Attleboro-Taunton Regional Transit Authority,Taunton,MA,Bristol,149348,214882,0,0,0,0,0,0
Metropolitan Bus Authority,San Juan,PR,San Juan,957669,37853,0,0,0,0,0,0
Monterey-Salinas Transit,Monterey,CA,Monterey,607681,365468,0,0,0,0,0,11808
"City of Montebello, dba: Montebello Bus Lines",Montebello,CA,Los Angeles,25905,260534,0,337221,0,0,0,0
"Brevard Board of County Commissioners, dba: Space Coast Area Transit",Titusville,FL,Brevard,487522,42145,0,0,0,0,0,0
Centre Area Transportation Authority,State College,PA,Centre,341,73839,0,539333,0,0,0,0
"Lexington Transit Authority, dba: Lextran",Lexington,KY,Fayette,364737,255074,0,187543,0,0,0,187920
"Sarasota County, dba: Sarasota County Area Transit",Sarasota,FL,Sarasota,556623,182145,0,0,0,0,0,0
"Johnson County Kansas, dba: Johnson County Transit",Olathe,KS,Johnson,231390,54533,0,69067,0,0,0,0
Erie Metropolitan Transit Authority,Erie,PA,Erie,305979,187707,0,133824,0,0,0,0
"Prince George's County, Maryland, dba: Prince George's County Transit",Largo,MD,Prince George's,901878,38138,24977,0,0,0,0,0
Santa Cruz Metropolitan Transit District,Santa Cruz,CA,Santa Cruz,133095,62960,0,545322,0,0,0,0
Birmingham-Jefferson County Transit Authority,Birmingham,AL,Jefferson,4370,0,0,903948,0,0,0,0
"Lee County Transit, dba: Lee County Transit",Fort Myers,FL,Lee,560039,52908,233028,0,0,0,0,0
"Suburban Transit Corporation, dba: Coach USA",New Brunswick,NJ,Middlesex,266856,0,0,0,0,0,0,0
Whatcom Transportation Authority,Bellingham,WA,Whatcom,354935,82976,49438,0,0,0,0,0
"Central Midlands Regional Transportation Authority, dba: The COMET",Columbia,SC,Richland,0,4104,332245,0,434518,0,0,0
Worcester Regional Transit Authority,Worcester,MA,Worcester,323330,113996,0,0,0,0,0,163200
Virginia Railway Express,Alexandria,VA,Alexandria,1430638,0,0,0,0,0,0,0
Laketran,Painesville,OH,Lake,301158,32215,175346,0,0,0,0,0
Connecticut Department of Transportation - CTTRANSIT New Haven Division,Hartford,CT,Capitol,1021682,0,0,0,0,0,0,0
SunLine Transit Agency,Thousand Palms,CA,Riverside,0,11395,0,1227911,0,55593,0,277105
"The Eastern Contra Costa Transit Authority, dba: Tri Delta Transit",Antioch,CA,Contra Costa,521476,129220,0,0,0,0,0,165177
"Cobb County, dba: CobbLinc",Marietta,GA,Cobb,878591,0,0,17785,0,0,0,0
"Arlington County, Virginia, dba: Arlington Transit",Arlington,VA,Arlington,0,24754,0,712566,0,0,0,0
Santa Barbara Metropolitan Transit District,Santa Barbara,CA,Santa Barbara,585298,0,0,0,0,0,0,228171
MetroWest Regional Transit Authority,Framingham,MA,Middlesex,0,138686,0,106002,0,0,0,0
Metropolitan Tulsa Transit Authority,Tulsa,OK,Tulsa,101722,30121,0,534007,0,0,0,0
Antelope Valley Transit Authority,Lancaster,CA,Los Angeles,415615,37677,0,0,0,0,0,4757622
"Loudoun County, dba: Loudoun County Transit",Leesburg,VA,Loudoun,581074,156600,0,0,0,0,0,0
"Greater Peoria Mass Transit District, dba: CityLink",Peoria,IL,Peoria,0,166395,0,0,507044,0,0,0
Golden Empire Transit District,Bakersfield,CA,Kern,0,15557,0,1392774,0,0,0,0
"City of Durham, dba: GoDurham",Durham,NC,Durham,320862,208327,0,0,308279,0,0,0
"City of Greensboro, dba: Greensboro Transit Authority",Greensboro,NC,Guilford,375053,304894,0,0,0,0,0,165852
"Rock Region Metropolitan Transit Authority, dba: Rock Region Metro",North Little Rock,AR,Pulaski,315451,125784,0,221510,0,0,203800,0
Skagit Transit,Burlington,WA,Skagit,172819,37641,53828,0,0,0,0,0
"Town of Chapel Hill, dba: Chapel Hill Transit",Chapel Hill,NC,Orange,430831,58641,0,0,0,0,0,0
"City of Santa Clarita, dba: Santa Clarita Transit",Santa Clarita,CA,Los Angeles,77455,48644,0,808496,0,0,0,0
"Escambia County Board of County Commissioners, FL, dba: Escambia County Area Transit Authority",Pensacola,FL,Escambia,347907,134047,0,0,0,0,0,0
"Ride Connection, Inc.",Portland,OR,Multnomah,0,69808,0,0,0,0,0,0
"City of Lubbock, dba: CITIBUS",Lubbock,TX,Lubbock,352774,106624,0,0,0,0,0,70400
Marin County Transit District,San Rafael,CA,Marin,408339,231750,0,0,0,0,0,67433
"City of Torrance, dba: Torrance Transit System ",Torrance,CA,Los Angeles,0,24588,0,572880,0,0,0,0
"City of Lincoln, dba: StarTran",Lincoln,NE,Lancaster,178069,19792,0,237147,0,0,0,34944
Enterprise - Denver,Highlands Ranch,CO,Douglas,0,31554,0,0,0,0,0,0
Norwalk Transit District,Norwalk,CT,Western Connecticut,218708,99113,0,0,0,0,0,0
Charleston Area Regional Transportation Authority,North Charleston,SC,Charleston,508172,79926,0,0,0,0,0,145280
Capital Area Transit System,Baton Rouge,LA,East Baton Rouge,714468,92053,0,0,0,0,0,55000
County of Lackawanna Transit System,Scranton,PA,Lackawanna,116482,99017,0,133399,0,0,0,0
Riverside County Transportation Commission,Riverside,CA,Riverside,0,74517,0,0,0,0,0,0
Brockton Area Transit Authority,Brockton,MA,Plymouth,272628,81008,0,0,0,0,0,0
Piedmont Authority for Regional Transportation,Greensboro,NC,Guilford,235173,95535,0,0,0,0,0,0
"JAUNT, Inc.",Charlottesville,VA,Charlottesville,0,211123,0,0,0,0,0,1584
Southeastern Regional Transit Authority,New Bedford,MA,Bristol,333078,92442,0,0,0,0,0,0
"Ada County Highway District, dba: ACHD Commuteride",Boise,ID,Ada,0,77996,0,0,0,0,0,0
"City of Knoxville, dba: Knoxville Area Transit",Knoxville,TN,Knox,647804,166976,0,0,0,0,0,0
Port Authority Transit Corporation,Lindenwold,NJ,Camden,0,0,0,0,0,0,32179173,0
"Port Imperial Ferry Corporation, dba: NY Waterway",Weehawken,NJ,,1199582,0,0,0,0,0,0,0
Chatham Area Transit Authority,Savannah,GA,Chatham,33395,162431,0,0,425654,0,0,0
Merrimack Valley Regional Transit Authority,Haverhill,MA,Essex,355824,96795,0,0,0,0,0,0
"City of Appleton, dba: Valley Transit",Appleton,WI,Outagamie,162056,102594,0,0,0,0,0,0
Anaheim Transportation Network,Anaheim,CA,Orange,0,0,48785,72930,0,523575,0,124436
"Central Oklahoma Transportation and Parking Authority, dba: EMBARK",Oklahoma City,OK,Oklahoma,666301,818,0,297111,0,0,1559300,0
County of Maui,Wailuku,HI,Maui,335732,159210,0,0,0,0,0,0
"Rockland Coaches, Inc.",Paramus,NJ,Bergen,256059,0,0,0,0,0,0,0
"Central County Transportation Authority, dba: Metro Transit",Kalamazoo,MI,Kalamazoo,331721,86427,0,0,0,0,0,0
"Lakeland Area Mass Transit District, dba: Citrus Connection",Lakeland,FL,Polk,204700,171713,0,0,0,0,0,0
Chattanooga Area Regional Transportation Authority,Chattanooga,TN,Hamilton,416359,116564,0,0,0,0,76000,222600
Valley Regional Transit,Meridian,ID,Ada,4936,17572,0,435746,0,0,0,0
"City of Winston Salem, dba: Winston-Salem Transit Authority",Winston Salem,NC,,480075,191657,0,0,0,0,0,0
Gold Coast Transit District,Oxnard,CA,Ventura,0,17768,0,834797,0,0,0,0
"County of Sonoma, dba: Sonoma County Transit",Santa Rosa,CA,Sonoma,0,101281,0,333741,0,0,0,8034
"Gwinnett County Board of Commissioners, dba: Gwinnett County Transit",Lawrenceville,GA,Gwinnett,508763,41249,0,0,0,0,0,0
Lowell Regional Transit Authority,Lowell,MA,Middlesex,260876,73774,0,0,0,0,0,0
Connecticut Department of Transportation- CTTransit Waterbury- NET,Watertown,CT,,293718,102393,0,0,0,0,0,0
Northern Indiana Commuter Transportation District,Chesterton,IN,Porter,0,0,0,0,0,0,18158000,0
Livermore / Amador Valley Transit Authority,Livermore,CA,Alameda,314256,23557,0,0,0,0,0,0
Luzerne County Transportation Authority,Kingston,PA,Luzerne,244827,114074,0,37663,0,0,0,0
"City of Modesto, dba: Modesto Area Express",Modesto,CA,Stanislaus,508132,10716,0,0,0,0,0,690
"Ames Transit Agency, dba: CyRide",Ames,IA,Story,309731,16010,0,0,11882,0,0,0
County of Howard,Ellicott City,MD,Howard,267490,139238,0,0,0,0,0,52714
"Springfield Mass Transit District, dba: Sangamon Mass Transit District",Springfield,IL,Sangamon,0,90905,0,237301,167039,0,0,0
"Ms Coast Transportation Authority, dba: Coast Transit Authority",Gulfport,MS,Harrison,130997,37195,4490,0,0,0,0,0
"Hill Country Transit District, dba: The Hop",San Saba,TX,San Saba,155293,101838,0,0,0,0,0,0
Kentuckiana Regional Planning and Development Agency,Louisville,KY,Jefferson,0,64152,0,0,0,16,0,0
Stark Area Regional Transit Authority,Canton,OH,Stark,211956,0,0,342409,0,21975,0,0
"Brazos Transit District, dba: The District",Bryan,TX,Brazos,94900,206093,0,0,0,0,0,0
"South Florida Regional Transportation Authority, dba: TRI-Rail",Pompano Beach,FL,Broward,3006651,0,0,0,0,0,0,0
"Washington County Transportation Authority, dba: Freedom Transit",Washington,PA,Washington,47481,223479,0,0,0,0,0,0
"Somerset County, dba: Somerset County Transportation",Somerville,NJ,Somerset,22458,102084,0,0,0,0,0,0
"City of Arlington, dba: Handitran",Arlington,TX,Tarrant,16953,21759,0,0,0,0,0,0
