MSA,Barren Land (Rock/Sand/Clay),Cultivated Crops,Deciduous Forest,"Developed, High Intensity","Developed, Low Intensity","Developed, Medium Intensity","Developed, Open Space",Emergent Herbaceous Wetlands,Evergreen Forest,Grassland/Herbaceous,Mixed Forest,Open Water,Pasture/Hay,Shrubland,Woody Wetlands
"Tuscaloosa, AL",28148.0,101041.0,1404282.0,24995.0,141761.0,81724.0,329922.0,75858.0,1722040.0,317599.0,1439261.0,182614.0,916741.0,297331.0,1274413.0
"Twin Falls, ID",1924.0,2132782.0,8459.0,13088.0,74343.0,44247.0,137961.0,10995.0,31307.0,1927041.0,12170.0,39420.0,149916.0,2680856.0,18073.0
"Tyler, TX",7307.0,0.0,127687.0,35776.0,195716.0,88676.0,121266.0,17102.0,230858.0,62250.0,515401.0,68043.0,841387.0,74501.0,346994.0
"Utica-Rome, NY",5737.0,480378.0,3324521.0,24276.0,122309.0,71088.0,290299.0,46966.0,792833.0,65206.0,542973.0,258908.0,986138.0,60423.0,743060.0
"Valdosta, GA",2263.0,821143.0,10555.0,17619.0,88262.0,43142.0,187114.0,85995.0,1344383.0,197848.0,113760.0,35417.0,58107.0,230992.0,1450412.0
"Vallejo-Fairfield, CA",6730.0,841874.0,1008.0,48899.0,75834.0,142482.0,77463.0,278654.0,7507.0,676917.0,15787.0,229604.0,21000.0,134898.0,2624.0
"Victoria, TX",8403.0,394868.0,322925.0,14963.0,57785.0,43375.0,128453.0,69125.0,133148.0,25233.0,275529.0,44186.0,2197281.0,1109637.0,205521.0
"Vineland-Bridgeton, NJ",11589.0,280948.0,145331.0,14605.0,74046.0,36181.0,86940.0,208182.0,53255.0,9071.0,144147.0,71607.0,5720.0,13788.0,287450.0
"Virginia Beach-Norfolk-Newport News, VA-NC",32563.0,1426153.0,112455.0,133483.0,583334.0,348332.0,640376.0,370290.0,980432.0,83215.0,579600.0,710640.0,38114.0,144641.0,2225236.0
"Visalia-Porterville, CA",498982.0,3444793.0,44281.0,38003.0,141621.0,153231.0,260765.0,52783.0,2284584.0,3395275.0,26446.0,36497.0,39136.0,3471070.0,33388.0
"Waco, TX",9278.0,1566764.0,215363.0,36954.0,126469.0,93699.0,253538.0,17503.0,162112.0,1412734.0,27452.0,89310.0,1055468.0,27948.0,183423.0
"Walla Walla, WA",273.0,2873735.0,398.0,4849.0,63374.0,29014.0,135896.0,22050.0,787025.0,1340802.0,1541.0,97793.0,64507.0,817980.0,13790.0
