Agency,City,State,County,Diesel (gal),Gasoline (gal),"Liquefied
Petroleum Gas (gal)",Compressed Natural Gas (gal),Bio-Diesel (gal),Other Fuel (gal),Electric Propulsion (gal),Electric Battery (gal),County Name,MSA
"Cumberland Dauphin-Harrisburg Transit Authority, dba: Capital Area Transit",Harrisburg,PA,Dauphin,444761,215852,0,0,8846,0,0,0,Dauphin,"Harrisburg-Carlisle, PA"
San Joaquin Regional Transit District,Stockton,CA,San Joaquin,319923,132818,0,0,89299,0,0,652030,San Joaquin,"Stockton, CA"
Mecklenburg County ,Charlotte,NC,Mecklenburg,0,57453,0,0,0,0,0,0,Mecklenburg,"Charlotte-Concord-Gastonia, NC-SC"
Greater Attleboro-Taunton Regional Transit Authority,Taunton,MA,Bristol,149348,214882,0,0,0,0,0,0,Bristol,"Providence-Warwick, RI-MA"
Metropolitan Bus Authority,San Juan,PR,San Juan,957669,37853,0,0,0,0,0,0,,
Monterey-Salinas Transit,Monterey,CA,Monterey,607681,365468,0,0,0,0,0,11808,Monterey,"Salinas, CA"
"City of Montebello, dba: Montebello Bus Lines",Montebello,CA,Los Angeles,25905,260534,0,337221,0,0,0,0,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA"
"Brevard Board of County Commissioners, dba: Space Coast Area Transit",Titusville,FL,Brevard,487522,42145,0,0,0,0,0,0,Brevard,"Palm Bay-Melbourne-Titusville, FL"
Centre Area Transportation Authority,State College,PA,Centre,341,73839,0,539333,0,0,0,0,Centre,"State College, PA"
"Lexington Transit Authority, dba: Lextran",Lexington,KY,Fayette,364737,255074,0,187543,0,0,0,187920,Fayette,"Lexington-Fayette, KY"
"Sarasota County, dba: Sarasota County Area Transit",Sarasota,FL,Sarasota,556623,182145,0,0,0,0,0,0,Sarasota,"North Port-Sarasota-Bradenton, FL"
"Johnson County Kansas, dba: Johnson County Transit",Olathe,KS,Johnson,231390,54533,0,69067,0,0,0,0,Johnson,"Kansas City, MO-KS"
Erie Metropolitan Transit Authority,Erie,PA,Erie,305979,187707,0,133824,0,0,0,0,Erie,"Erie, PA"
"Prince George's County, Maryland, dba: Prince George's County Transit",Largo,MD,Prince George's,901878,38138,24977,0,0,0,0,0,Prince George's,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
Santa Cruz Metropolitan Transit District,Santa Cruz,CA,Santa Cruz,133095,62960,0,545322,0,0,0,0,Santa Cruz,"Santa Cruz-Watsonville, CA"
Birmingham-Jefferson County Transit Authority,Birmingham,AL,Jefferson,4370,0,0,903948,0,0,0,0,Jefferson,"Birmingham-Hoover, AL"
"Lee County Transit, dba: Lee County Transit",Fort Myers,FL,Lee,560039,52908,233028,0,0,0,0,0,Lee,"Cape Coral-Fort Myers, FL"
"Suburban Transit Corporation, dba: Coach USA",New Brunswick,NJ,Middlesex,266856,0,0,0,0,0,0,0,Middlesex,"New York-Newark-Jersey City, NY-NJ-PA"
Whatcom Transportation Authority,Bellingham,WA,Whatcom,354935,82976,49438,0,0,0,0,0,Whatcom,"Bellingham, WA"
"Central Midlands Regional Transportation Authority, dba: The COMET",Columbia,SC,Richland,0,4104,332245,0,434518,0,0,0,Richland,"Columbia, SC"
Worcester Regional Transit Authority,Worcester,MA,Worcester,323330,113996,0,0,0,0,0,163200,Worcester,"Worcester, MA-CT"
