Agency,City,State,County,Diesel (gal),Gasoline (gal),Diesel (miles),Gasoline (miles)
"Transportation District Commission of Hampton Roads, dba: Hampton Roads Transit",Hampton,VA,Hampton,0,33094,0,264248
"Transportation District Commission of Hampton Roads, dba: Hampton Roads Transit",Hampton,VA,Hampton,0,0,0,0
"Transportation District Commission of Hampton Roads, dba: Hampton Roads Transit",Hampton,VA,Hampton,2147831,0,9009473,0
"Transportation District Commission of Hampton Roads, dba: Hampton Roads Transit",Hampton,VA,Hampton,0,0,0,0
"Transportation District Commission of Hampton Roads, dba: Hampton Roads Transit",Hampton,VA,Hampton,27952,0,17088,0
"City of Charlotte North Carolina, dba: Charlotte Area Transit System",Charlotte,NC,Mecklenburg,208686,0,2299559,0
"City of Charlotte North Carolina, dba: Charlotte Area Transit System",Charlotte,NC,Mecklenburg,320164,0,0,0
"City of Charlotte North Carolina, dba: Charlotte Area Transit System",Charlotte,NC,Mecklenburg,0,60398,0,912982
"City of Charlotte North Carolina, dba: Charlotte Area Transit System",Charlotte,NC,Mecklenburg,0,0,0,0
"City of Charlotte North Carolina, dba: Charlotte Area Transit System",Charlotte,NC,Mecklenburg,1429303,0,6049314,0
"City of Charlotte North Carolina, dba: Charlotte Area Transit System",Charlotte,NC,Mecklenburg,0,0,0,0
Georgia State Road and Tollway Authority,Atlanta,GA,Fulton,0,240929,0,2040055
Georgia State Road and Tollway Authority,Atlanta,GA,Fulton,1028058,0,2947267,0
Ben Franklin Transit,Richland,WA,Benton,0,209661,0,1136190
Ben Franklin Transit,Richland,WA,Benton,527914,0,2982159,0
Ben Franklin Transit,Richland,WA,Benton,0,87568,0,1493641
Ben Franklin Transit,Richland,WA,Benton,0,7284,0,312271
"San Mateo County Transit District, dba: SamTrans",San Carlos,CA,San Mateo,172008,6415,7190,1530956
"San Mateo County Transit District, dba: SamTrans",San Carlos,CA,San Mateo,538289,78907,2734336,77879
"San Mateo County Transit District, dba: SamTrans",San Carlos,CA,San Mateo,0,0,0,0
"San Mateo County Transit District, dba: SamTrans",San Carlos,CA,San Mateo,1453307,0,6121575,0
"Central Puget Sound Regional Transit Authority, dba: Sound Transit",Seattle,WA,King,625305,0,335545,0
"Central Puget Sound Regional Transit Authority, dba: Sound Transit",Seattle,WA,King,0,0,0,0
"Central Puget Sound Regional Transit Authority, dba: Sound Transit",Seattle,WA,King,710511,0,2828475,0
"Central Puget Sound Regional Transit Authority, dba: Sound Transit",Seattle,WA,King,1943303,0,8614050,0
"Central Puget Sound Regional Transit Authority, dba: Sound Transit",Seattle,WA,King,0,0,0,0
"Westchester County, dba: The Bee-Line System",White Plains,NY,Westchester,0,169150,0,1783988
"Westchester County, dba: The Bee-Line System",White Plains,NY,Westchester,0,0,0,0
"Westchester County, dba: The Bee-Line System",White Plains,NY,Westchester,2242545,0,9009626,0
"Milwaukee County, dba: Milwaukee County Transit System",Milwaukee,WI,Milwaukee,14156,206259,0,0
"Milwaukee County, dba: Milwaukee County Transit System",Milwaukee,WI,Milwaukee,3098978,0,15508129,0
"City of Los Angeles, dba: Los Angeles Department of Transportation",Los Angeles,CA,Los Angeles,0,341350,0,802275
"City of Los Angeles, dba: Los Angeles Department of Transportation",Los Angeles,CA,Los Angeles,0,0,0,0
