MSA,Diesel (gal),Gasoline (gal),Liquefied Petroleum Gas (gal equivalent),Compressed Natural Gas (gal equivalent),Bio-Diesel (gal),Other Fuel (gal/gal equivalent),Electric Propulsion (kwh),Electric Battery (kwh),Diesel (miles),Gasoline (miles),Liquefied Petroleum Gas (miles),Compressed Natural Gas (miles),Other Fuel (miles),Electric Propulsion (miles),Electric Battery (miles)
"Lynchburg, VA",216242,30000,0,0,0,0,0,0,982702,181165,0,0,0,0,0
"Madison, WI",861616,0,0,0,0,0,0,0,4459753,0,0,0,0,0,0
"Manchester-Nashua, NH",0,23720,0,71820,17476,0,0,0,117809,317748,0,274015,0,0,0
"McAllen-Edinburg-Mission, TX",120658,114440,0,0,0,0,0,0,0,0,0,0,0,0,0
"Medford, OR",60700,35102,0,213904,0,0,0,0,319944,413049,0,456061,0,0,0
"Memphis, TN-MS-AR",1343674,117332,0,0,0,0,739700,0,5192128,932117,0,0,0,55163,0
"Merced, CA",230818,176117,0,0,0,0,0,0,1189331,1515972,0,0,0,0,0
"Miami-Fort Lauderdale-Pompano Beach, FL",13350999,3022656,957651,3744434,0,445566,77275061,0,33204510,22226806,0,9872936,5303785,1596861,0
"Milwaukee-Waukesha, WI",3404607,352262,0,0,0,0,796799,0,16187660,1568864,0,0,0,72466,0
"Minneapolis-St. Paul-Bloomington, MN-WI",672674,3839009,0,0,5906921,0,31871652,519156,30517605,25183636,0,0,0,4153269,162692
"Missoula, MT",152214,12897,0,0,0,0,0,315747,722747,157159,0,0,0,0,31517
"Mobile, AL",174986,155465,0,0,0,0,0,0,707250,889058,0,0,0,0,0
"Modesto, CA",508132,36880,0,35074,0,0,0,690,2448598,262516,0,107435,0,0,99231
"Monroe, MI",97894,0,0,0,0,0,0,0,1216248,0,0,0,0,0,0
"Montgomery, AL",69423,182426,0,0,0,0,0,0,452247,965545,0,0,0,0,0
"Morgantown, WV",0,0,0,0,0,0,3103051,0,0,0,0,0,0,506512,0
"Mount Vernon-Anacortes, WA",172819,37641,53828,0,0,0,0,0,753919,691822,0,0,231784,0,0
"Muncie, IN",0,0,39356,0,145520,0,0,0,711963,0,0,0,168402,0,0
"Napa, CA",255742,82231,0,54637,0,0,0,0,1540598,452035,0,322804,0,0,0
"Naples-Marco Island, FL",331968,56547,0,0,0,0,0,0,1708711,251503,0,0,0,0,0
"Nashville-Davidson--Murfreesboro--Franklin, TN",1703256,554519,0,0,0,0,0,18426,5265107,4108085,0,0,0,0,11410
"New Haven-Milford, CT",0,282281,0,0,56319,0,0,0,291224,2009003,0,0,0,0,0
"New Orleans-Metairie, LA",431812,157413,105450,0,1966397,0,3613000,0,7060885,1205113,0,0,395575,1044569,0
"New York-Newark-Jersey City, NY-NJ-PA",100155244,7370346,0,10041461,0,0,2950030630,449235,240396543,56244999,0,30154631,4423601,456959229,111558
"North Port-Sarasota-Bradenton, FL",919793,204919,0,0,0,0,0,0,5112653,1159898,0,0,0,0,0
"Norwich-New London, CT",192740,19202,0,0,0,0,0,0,939031,93820,0,0,0,0,0
"Oklahoma City, OK",666301,818,0,297111,0,0,1559300,0,2693947,19466,0,1133969,0,150909,0
"Olympia-Lacey-Tumwater, WA",16017471,119455,54772,0,1528162,0,0,0,3565878,1785775,0,0,282178,0,0
"Omaha-Council Bluffs, NE-IA",588017,1753,0,195325,0,0,0,0,2753899,214576,0,594163,0,0,0
"Orlando-Kissimmee-Sanford, FL",125584,1423657,0,1674607,2439315,0,0,0,11244694,12019931,0,5042873,0,0,0
"Oshkosh-Neenah, WI",94300,0,0,0,0,0,0,0,488752,0,0,0,0,0,0
"Owensboro, KY",152,180540,0,0,0,0,0,0,218,1540870,0,0,0,0,0
"Oxnard-Thousand Oaks-Ventura, CA",416353,56101,0,834797,0,0,0,0,1704510,462186,0,2078616,0,0,0
"Palm Bay-Melbourne-Titusville, FL",487522,42145,0,0,0,0,0,0,4667114,1308667,0,0,0,0,0
"Pensacola-Ferry Pass-Brent, FL",429446,196617,0,0,0,0,0,0,1606726,1275790,0,0,0,0,0
"Peoria, IL",0,166395,0,0,507044,0,0,0,2222033,1237253,0,0,0,0,0
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",11033267,1629502,0,0,27243,0,376746272,1030091,41177212,9859938,0,0,0,37185926,244645
"Phoenix-Mesa-Chandler, AZ",2550284,1230701,5417,8616890,0,593794,23474521,0,9526779,9338055,0,31609775,270069,3452467,0
"Pittsburgh, PA",6669335,1593948,0,461452,0,0,30751496,9366,24900337,10982943,0,2020795,0,2166382,0
"Pittsfield, MA",69587,103362,0,0,0,0,0,0,315263,790429,0,0,0,0,0
"Port St. Lucie, FL",271421,16883,0,0,0,0,0,0,1474749,46377,0,0,0,0,0
"Portland-South Portland, ME",1022441,0,0,87742,29318,0,0,0,1015945,0,0,316210,0,0,0
"Portland-Vancouver-Hillsboro, OR-WA",957534,127477,0,10592,5950711,0,57192802,281330,33160705,1153074,0,338550,0,9463681,159576
"Poughkeepsie-Newburgh-Middletown, NY",224490,0,0,0,0,0,0,0,1357170,0,0,0,0,0,0
"Providence-Warwick, RI-MA",2860352,344476,0,0,0,0,0,0,14549285,2640907,0,0,0,0,0
"Pueblo, CO",125316,26959,0,0,0,0,0,0,470080,215038,0,0,0,0,0
"Punta Gorda, FL",26751,34216,0,0,0,0,0,0,203120,285138,0,0,0,0,0
"Racine, WI",270661,18001,0,0,0,0,0,0,1012426,119693,0,0,0,0,0
"Raleigh-Cary, NC",176753,216671,0,479016,679258,0,0,0,643654,2425593,0,0,0,0,0
"Redding, CA",132372,50430,0,0,0,0,0,6131,645141,312899,0,0,0,0,0
"Reno, NV",0,208748,0,179937,635399,0,0,1332945,2191676,2692304,0,1003389,0,0,612325
"Richmond, VA",346019,213340,0,1677436,0,0,0,0,1473814,2890220,0,9856065,0,0,0
"Riverside-San Bernardino-Ontario, CA",0,1540219,0,7332404,0,55593,0,554444,0,9455806,0,28394032,0,0,98791
"Roanoke, VA",749494,101224,0,0,0,0,0,0,3234266,208092,0,0,0,0,0
"Rochester, MN",0,13371,0,0,280000,0,0,0,832245,810412,0,0,0,0,0
"Rochester, NY",1349441,293931,0,0,0,0,0,0,5594212,2224913,0,0,0,0,0
"Rockford, IL",343010,89926,0,0,0,0,0,0,1385878,599772,0,0,0,0,0
"Rome, GA",28327,33703,0,0,0,0,0,0,143583,136714,0,0,0,0,0
"Sacramento-Roseville-Folsom, CA",157016,547811,0,3884623,21192,0,30089655,77992,974861,3963168,0,15045471,0,3768892,0
"Saginaw, MI",191357,38459,0,0,0,0,0,0,577529,171687,0,0,0,0,0
"Salem, OR",0,143623,0,340009,205694,0,0,0,1130741,1472738,0,595958,0,0,0
"Salinas, CA",607681,365468,0,0,0,0,0,11808,3119992,2143642,0,0,0,0,31824
"Salisbury, MD-DE",31541,73794,180700,0,0,0,0,0,158670,146655,0,0,1348113,0,0
"Salt Lake City, UT",4975424,659008,0,305814,0,0,39602347,98071,17828402,9040320,0,1342984,0,6307169,39307
"San Angelo, TX",6389,145814,0,0,0,0,0,0,72927,1905721,0,0,0,0,0
"San Antonio-New Braunfels, TX",1203456,815090,579952,5313273,0,0,0,0,4715477,9182452,0,20491619,3271405,0,0
"San Diego-Chula Vista-Carlsbad, CA",1338204,1156522,733556,8953304,0,0,52502166,109357,1869011,7910279,0,27999602,4669894,9579691,0
"San Francisco-Oakland-Berkeley, CA",16683814,2129148,0,0,6311064,47695,389193362,571317,66346248,14679530,0,0,0,71595178,200025
"San Jose-Sunnyvale-Santa Clara, CA",3333792,379552,59829,0,0,0,22062611,125435,16383637,4845479,0,0,0,3093884,46875
"San Luis Obispo-Paso Robles, CA",326646,80428,0,0,0,0,0,0,1738402,693799,0,0,0,0,0
"Santa Cruz-Watsonville, CA",133095,62960,0,545322,0,0,0,0,678927,546052,0,2111998,0,0,0
"Santa Fe, NM",0,68375,0,0,0,0,0,0,0,372373,0,0,0,0,0
"Santa Maria-Santa Barbara, CA",764690,27934,0,0,0,0,0,228171,3526485,182650,0,0,0,0,142767
"Santa Rosa-Petaluma, CA",531012,143288,0,333741,0,0,0,8034,2059016,1180724,0,1475454,0,0,12132
"Savannah, GA",33395,162431,0,0,425654,0,0,0,2080700,1330578,0,0,0,0,0
"Scranton--Wilkes-Barre, PA",361309,213091,0,171062,0,0,0,0,1593625,1229457,0,514078,0,0,0
