MSA,Diesel (gal),Gasoline (gal),"Liquefied
Petroleum Gas (gal)",Compressed Natural Gas (gal),Bio-Diesel (gal),Other Fuel (gal),Electric Propulsion (gal),Electric Battery (gal)
"New York-Newark-Jersey City, NY-NJ-PA",0,52648,0,0,0,0,0,0
"Athens-Clarke County, GA",253780,4530,0,0,0,0,0,31094
"Davenport-Moline-Rock Island, IA-IL",57586,39663,0,534802,0,0,0,285717
"Lafayette-West Lafayette, IN",89305,0,0,335196,0,0,0,0
"Minneapolis-St. Paul-Bloomington, MN-WI",137052,31263,0,0,0,0,0,0
"Shreveport-Bossier City, LA",0,146460,0,287786,0,0,0,265760
"Ithaca, NY",305611,43870,0,0,0,0,0,0
"Yuma, AZ",1441,81264,0,0,159470,0,0,0
"Wichita, KS",281514,87397,0,0,0,0,0,185000
"New York-Newark-Jersey City, NY-NJ-PA",223164,0,0,0,0,0,0,0
"San Francisco-Oakland-Berkeley, CA",394579,31980,0,0,0,0,0,0
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",4238,60494,0,0,0,0,0,0
"Albuquerque, NM",43014,82867,0,0,792273,0,0,0
"Yakima, WA",178977,28063,0,0,0,0,0,0
"New York-Newark-Jersey City, NY-NJ-PA",119707,0,0,0,0,0,0,0
"New Haven-Milford, CT",0,253845,0,0,0,0,0,0
"Allentown-Bethlehem-Easton, PA-NJ",234713,0,0,0,0,0,0,0
"Youngstown-Warren-Boardman, OH-PA",287458,56240,0,0,0,0,0,0
"Binghamton, NY",246230,53590,0,0,0,0,0,0
"San Antonio-New Braunfels, TX",481,174167,0,0,0,0,0,0
"Davenport-Moline-Rock Island, IA-IL",0,141782,0,0,0,0,0,0
"Chicago-Naperville-Elgin, IL-IN-WI",178960,23635,0,0,0,0,171840,0
"Riverside-San Bernardino-Ontario, CA",0,52294,0,0,0,0,0,0
"Raleigh-Cary, NC",0,216671,0,0,0,0,0,0
"St. Cloud, MN",67539,0,0,344362,0,0,0,0
"Roanoke, VA",374747,50612,0,0,0,0,0,0
"Roanoke, VA",374747,50612,0,0,0,0,0,0
"Rochester, MN",0,13371,0,0,280000,0,0,0
"San Angelo, TX",6389,145814,0,0,0,0,0,0
"Houston-The Woodlands-Sugar Land, TX",82453,122449,0,0,0,0,0,0
"Morgantown, WV",0,0,0,0,0,0,3103051,0
"Hickory-Lenoir-Morganton, NC",58519,90822,0,0,0,0,0,0
"Seattle-Tacoma-Bellevue, WA",185019,55784,0,0,0,0,0,617274
"Merced, CA",230818,176117,0,0,0,0,0,0
"Saginaw, MI",191357,38459,0,0,0,0,0,0
"Johnstown, PA",11978,63140,0,110774,0,0,69888,0
"Fort Collins, CO",3286,2167,0,401877,4564,0,0,0
"New York-Newark-Jersey City, NY-NJ-PA",436962,41617,0,0,0,0,0,0
"Bay City, MI",100371,0,475,0,0,0,0,0
"Johnson City, TN",0,156174,38962,0,0,0,0,0
"South Bend-Mishawaka, IN-MI",126450,39791,0,138903,0,0,0,0
"Sacramento-Roseville-Folsom, CA",69572,1712,0,503687,0,0,0,2481
"Naples-Marco Island, FL",331968,56547,0,0,0,0,0,0
"Atlanta-Sandy Springs-Alpharetta, GA",0,81106,0,0,0,0,0,0
"Rockford, IL",343010,89926,0,0,0,0,0,0
"Blacksburg-Christiansburg, VA",282188,12413,0,0,0,0,0,0
"Eau Claire, WI",124251,16260,0,0,0,0,0,0
"North Port-Sarasota-Bradenton, FL",363170,22774,0,0,0,0,0,0
"San Luis Obispo-Paso Robles, CA",235551,77914,0,0,0,0,0,0
"Elizabethtown-Fort Knox, KY",5240,176637,0,0,0,0,0,0
"McAllen-Edinburg-Mission, TX",120658,114440,0,0,0,0,0,0
"Sumter, SC",18425,65151,4340,0,0,0,0,0
"Fort Wayne, IN",298207,20802,0,0,0,0,0,0
"Los Angeles-Long Beach-Anaheim, CA",153,434334,0,0,0,0,0,144279
"Santa Fe, NM",0,68375,0,0,0,0,0,0
"Sacramento-Roseville-Folsom, CA",0,508,0,265334,0,0,0,0
"Decatur, IL",600,17396,0,0,342610,0,0,0
"Medford, OR",60700,35102,0,213904,0,0,0,0
"Wenatchee, WA",196634,95814,15730,0,0,0,0,397760
"Poughkeepsie-Newburgh-Middletown, NY",224490,0,0,0,0,0,0,0
"Napa, CA",255742,82231,0,54637,0,0,0,0
"Fort Collins, CO",0,21415,0,0,0,0,0,0
"Laredo, TX",279880,54123,0,295880,0,0,0,0
"Owensboro, KY",152,180540,0,0,0,0,0,0
"New Orleans-Metairie, LA",0,169,105450,0,392695,0,0,0
"Ann Arbor, MI",272994,0,0,0,0,0,0,0
"Los Angeles-Long Beach-Anaheim, CA",0,0,0,836048,0,0,0,0
"Pittsburgh, PA",0,29511,0,0,0,0,0,0
"Wilmington, NC",68398,59493,0,224273,0,0,0,0
"Nashville-Davidson--Murfreesboro--Franklin, TN",319405,19159,0,0,0,0,0,0
"Oxnard-Thousand Oaks-Ventura, CA",416353,38333,0,0,0,0,0,0
"Akron, OH",118946,59471,0,31676,0,0,0,0
"Mobile, AL",174986,155465,0,0,0,0,0,0
"Chico, CA",202812,70590,0,33644,0,0,0,0
"New York-Newark-Jersey City, NY-NJ-PA",0,0,0,0,0,0,27982542,0
"Florence-Muscle Shoals, AL",276,52172,0,0,0,0,0,0
"Bend, OR",88431,63257,0,0,0,0,0,0
"New York-Newark-Jersey City, NY-NJ-PA",290389,0,0,0,0,0,0,0
"Hartford-East Hartford-Middletown, CT",1780907,0,0,0,0,0,0,0
"Des Moines-West Des Moines, IA",13676,114401,0,0,0,0,0,0
"Charleston, WV",331078,68980,0,0,0,0,0,0
"Harrisonburg, VA",173371,21524,0,0,0,0,0,0
"Crestview-Fort Walton Beach-Destin, FL",1227,147269,0,0,0,0,0,0
"Dallas-Fort Worth-Arlington, TX",0,212091,0,0,0,0,0,0
"Lewiston-Auburn, ME",16465,50352,0,0,0,0,0,0
"Bloomington, IL",0,53908,19336,0,282297,0,0,0
"Austin-Round Rock-Georgetown, TX",193296,0,0,0,0,0,0,0
"New York-Newark-Jersey City, NY-NJ-PA",268458,0,0,0,0,0,0,0
"Tampa-St. Petersburg-Clearwater, FL",349718,63738,0,0,0,0,0,0
"Oshkosh-Neenah, WI",94300,0,0,0,0,0,0,0
"Visalia, CA",0,0,0,580167,0,0,0,0
"Lawrence, KS",129293,124360,0,0,0,0,0,0
"Victoria, TX",19396,127787,0,0,0,0,0,0
"Milwaukee-Waukesha, WI",216901,3044,0,0,0,0,0,0
"Sacramento-Roseville-Folsom, CA",57621,54732,0,367041,0,0,0,0
"Racine, WI",270661,18001,0,0,0,0,0,0
"Washington-Arlington-Alexandria, DC-VA-MD-WV",102036,64032,0,0,0,0,0,148170
"Vallejo, CA",335230,23472,0,0,0,0,0,0
"Nashville-Davidson--Murfreesboro--Franklin, TN",0,41284,0,0,0,0,0,0
"Decatur, AL",0,46877,0,0,0,0,0,0
"East Stroudsburg, PA",84789,129954,0,0,0,0,0,0
"Bloomington, IN",191369,20899,0,0,0,0,0,0
"Vallejo, CA",123755,25576,0,335189,0,0,0,18249
"Phoenix-Mesa-Chandler, AZ",0,0,0,0,0,0,23474521,0
"Raleigh-Cary, NC",176753,0,0,0,0,0,0,0
"Orlando-Kissimmee-Sanford, FL",125584,166552,0,0,0,0,0,0
"Houston-The Woodlands-Sugar Land, TX",159058,0,24534,0,0,0,0,0
"Birmingham-Hoover, AL",0,37880,0,0,0,0,0,0
"Salisbury, MD-DE",31541,73794,180700,0,0,0,0,0
"Port St. Lucie, FL",181811,4073,0,0,0,0,0,0
"Minneapolis-St. Paul-Bloomington, MN-WI",109053,28991,0,0,0,0,0,0
"Los Angeles-Long Beach-Anaheim, CA",0,53549,0,0,0,0,0,0
"Sacramento-Roseville-Folsom, CA",0,1364,0,207574,21192,0,0,0
"Baltimore-Columbia-Towson, MD",0,201674,0,0,0,0,0,0
"Iowa City, IA",166348,32814,0,0,0,0,0,0
"Santa Rosa-Petaluma, CA",191763,30569,0,0,0,0,0,0
"Cedar Rapids, IA",208142,24401,0,0,0,0,0,0
"Williamsport, PA",54976,8760,0,202796,0,0,0,0
"Fayetteville, NC",257652,70719,43674,0,0,0,0,0
"Fargo, ND-MN",217202,43782,0,0,0,0,0,0
