Cluster,Cluster Name,Emissions per capita (MTCO2e),msa,Variable,Value
4,Auto Large,4.754841854510094,"Raleigh-Cary, NC",Population Density (/sq km),244.94010590664783
1,Sparse Active,6.137004142552739,"Rapid City, SD",Population Density (/sq km),8.671871438710996
5,Auto Small,4.471790988865926,"Reading, PA",Population Density (/sq km),187.04691398447827
3,Sparse Auto,5.729710311243077,"Redding, CA",Population Density (/sq km),17.97996301724515
4,Auto Large,4.641729718981716,"Reno, NV",Population Density (/sq km),26.547888373754983
4,Auto Large,5.129832949765807,"Riverside-San Bernardino-Ontario, CA",Population Density (/sq km),64.83946529973714
3,Sparse Auto,6.14407714575323,"Rochester, MN",Population Density (/sq km),33.87656036839088
4,Auto Large,4.401336046047008,"Rochester, NY",Population Density (/sq km),78.54552215215806
5,Auto Small,4.662237057047692,"Rockford, IL",Population Density (/sq km),162.31747247111971
5,Auto Small,6.895664198851254,"Rocky Mount, NC",Population Density (/sq km),54.14940246102359
5,Auto Small,6.298004617782156,"Rome, GA",Population Density (/sq km),72.72085374872204
4,Auto Large,4.426636901442291,"Sacramento-Roseville-Folsom, CA",Population Density (/sq km),170.21115814775382
5,Auto Small,5.199660962124546,"Saginaw, MI",Population Density (/sq km),90.40085731681027
1,Sparse Active,5.103628899408256,"Salem, OR",Population Density (/sq km),85.57121950382368
1,Sparse Active,3.708575089595074,"Salinas, CA",Population Density (/sq km),44.1482296822081
3,Sparse Auto,5.826882766400676,"Salisbury, MD-DE",Population Density (/sq km),54.88117002238822
1,Sparse Active,4.8671541982546,"Salt Lake City, UT",Population Density (/sq km),57.99088861449175
3,Sparse Auto,5.545518151345691,"San Angelo, TX",Population Density (/sq km),13.340865694972164
4,Auto Large,4.7190890952555025,"San Antonio-New Braunfels, TX",Population Density (/sq km),131.60366136266867
4,Auto Large,4.581765135352589,"San Diego-Chula Vista-Carlsbad, CA",Population Density (/sq km),284.0795077329648
4,Auto Large,3.7701718036018974,"San Francisco-Oakland-Berkeley, CA",Population Density (/sq km),571.6702913807925
4,Auto Large,3.7690953266778178,"San Jose-Sunnyvale-Santa Clara, CA",Population Density (/sq km),284.56423388454306
1,Sparse Active,4.045880628884985,"San Luis Obispo-Paso Robles, CA",Population Density (/sq km),30.150021965527525
4,Auto Large,2.7383181298689667,"Santa Cruz-Watsonville, CA",Population Density (/sq km),178.46326140865526
1,Sparse Active,7.5908238633223695,"Santa Fe, NM",Population Density (/sq km),30.406156314273044
1,Sparse Active,4.4817820130529125,"Santa Maria-Santa Barbara, CA",Population Density (/sq km),45.27510795210118
