msa,Node count,Edge count,Degree average,Edge length total (km),Edge length average (km),Streets per node average,Intersection count,Street length total (km),Street segment count,Street length average (km),Circuity average,Self-loop proportion,Node density (per sq km),Intersection density (per sq km),Edge density (km/sq km),Street density (km/sq km),Building area (sq km),Area (sq km),Carbon Dioxide (Ton),Methane (Ton),Nitrous Oxide (Ton),"    Car, truck, or van:",    Public transportation (excluding taxicab):,    Bicycle,    Walked,"    Taxicab, motorcycle, or other means",    Worked from home,Median Income,Employment Rate,Unemployment Rate,    Total population,Total housing units
"Brunswick, GA",11009,27385,4.975020437823599,9346.181532000037,0.3412883524557252,2.605141248069761,8082,4869.108120999992,14310,340.25912795248024,1.092856360740593,0.0115303983228511,2.648827695256525,1.9445749326063435,2.2487441626720637,1.1715349661280077,2.377118692590903,4156.178229227491,427524.4616878783,40.488457892532665,4.824179003714266,91.56087511036986,0.45129010104974,0.4041989600706366,1.037967232414402,1.6030609241636418,4.942607671931718,"53,541",0.544,0.047,"118,149","61,297"
"Burlington, NC",8557,21105,4.932803552646956,5343.392991999999,0.25318137844112765,2.55685403763001,6132,2745.2659540000136,10901,251.83615760022136,1.0589585732143114,0.0072470415558205,7.610602514885873,5.453805611929434,4.752417920175148,2.441641693764528,3.3694901483632425,1124.3525047147098,873137.58122772,85.43781505275899,17.730567215,93.73498380862844,0.1697482502872662,0.0874856366865141,0.9923743862947874,0.5680037605766217,4.4474041575263765,"51,580",0.583,0.052,"166,144","71,718"
"Burlington-South Burlington, VT",10854,26095,4.808365579509858,9185.818646999971,0.3520145103276478,2.480375898286346,7690,4727.688385000015,13448,351.5532707465805,1.0888534763263316,0.024390243902439,2.788371537689015,1.9755460774671572,2.3598189852282787,1.2145339719731885,8.325908385996573,3892.594603442168,468376.8350168673,44.57730479874534,5.343873960899999,80.8836926814455,2.1493403515875427,1.6786449370719034,5.915747207882039,0.8359483078584202,8.536626514154603,"73,447",0.6559999999999999,0.038,"219,764","98,488"
"Canton-Massillon, OH",19333,52480,5.429059121708995,12510.681192999895,0.2383895044397846,2.800600010345006,15322,6435.014273000001,26977,238.5370601994292,1.0507645934026992,0.0040775475404974,7.6275839048831955,6.045095980480025,4.935926680124704,2.5388512541472323,7.337700607238546,2534.6164973187606,976369.5053178221,103.8613778157341,16.2480827696955,90.22566114188416,1.0205401211285212,0.1390176088971269,1.6024742979071922,0.9623467034506542,6.049960126732332,"54,854",0.585,0.051,"398,711","180,622"
"Buffalo-Cheektowaga, NY",30091,81425,5.411917184540228,20889.06531700024,0.25654363299969596,2.871955069622146,25522,11079.167473999943,43224,256.3198101517662,1.0570463450308498,0.0138349065334073,4.92741871234684,4.1792423108742165,3.4205965679579395,1.8142201033070284,45.03849009507663,6106.848586786367,2249995.29205232,232.193859078998,34.55654946545,87.94098231035757,2.876851295860482,0.3623337050532778,2.534844082753065,0.9674664239919738,5.317522181983642,"59,079",0.591,0.049,"1,129,018","530,247"
"Cape Girardeau, MO-IL",8862,21982,4.960956894606183,9437.40486399999,0.4293242136293326,2.561611374407583,6369,4811.705714999984,11299,425.85235109301567,1.0934348794841078,0.0061067351093017,2.344863758520753,1.6852219902977514,2.497114493351506,1.2731656903374686,1.15135371798551,3779.3240514709287,262231.406221318,19.95852440700767,3.451272624160666,91.81646593564624,0.3685062016897357,0.0741506381448858,1.7009706992629876,1.2470789142548984,4.792827611001258,"51,428",0.583,0.047,"97,026","44,240"
"Cape Coral-Fort Myers, FL",43551,110468,5.073040802737021,19121.29659699978,0.17309353475214342,2.8562145530527427,36063,10604.65233600008,62302,170.21367429617158,1.0820652057792306,0.0231774260858399,13.877764546299026,11.491672357309405,6.0931058297883345,3.379230516276758,48.062355039050246,3138.1855380745988,4273330.3649160005,374.2225233454,51.4994806479,87.66685930290944,0.6574896023798471,0.7598078690326188,1.149501514247187,2.260791577059234,7.505550134371674,"59,608",0.506,0.05,"756,570","401,252"
"Carbondale-Marion, IL",15822,39644,5.0112501580078375,11298.887853000142,0.2850087744173177,2.573821261534572,11281,5814.3062949999785,20298,286.44725071435505,1.0798829926653553,0.0133510690708444,4.37162358777625,3.1169438562573557,3.1218862756803163,1.606494662228406,4.213465854965188,3619.250304221253,323837.8801022503,24.68503480049833,4.387607587017,89.01184649216145,0.9505568560686672,0.5338015180534865,3.036106973114847,1.081790451869192,5.3858977087323545,"46,563",0.517,0.067,"136,837","66,007"
"Casper, WY",5774,15528,5.378593695878074,8166.183903999978,0.5259005605358048,2.772081745756841,4557,4216.255106999993,7972,528.8829788008019,1.1079744986283624,0.0022579026593075,0.4149340853968152,0.3274774207054532,0.5868424055054423,0.302990640218686,1.3966645497360155,13915.463210206346,696521.44751558,63.485748333100005,10.917184544,91.34279502650416,0.3859589124752668,0.1587805652588123,1.5242934264845984,0.7523756015340646,5.835796467743117,"62,168",0.6579999999999999,0.043,"80,067","37,160"
"Chambersburg-Waynesboro, PA",7228,18575,5.139734366353071,6737.179098000005,0.3627014319246301,2.6411178749308246,5526,3456.835800000006,9498,363.9540745420095,1.079661927810267,0.0097915350600126,3.607829781685535,2.758282702489522,3.3628383224008997,1.7254669548473662,4.745853124578187,2003.4204597710168,1018770.8103441,82.065453239135,18.6746090536,90.13267907563257,0.2617944570848981,0.1137640834452698,2.7029249705309906,1.122563666767181,5.666273746539105,"63,420",0.596,0.039,"154,954","65,808"
